transaction_id,customer_id,date,amount,type
1,101.0,1/03/2026,250.0,purchase
3,101.0,2/03/2026,250.0,purchase
4,103.0,3/03/2026,12000.0,purchase
6,104.0,5/03/2026,300.0,purchase
7,105.0,6/03/2026,450.0,withdrawal
8,106.0,7/03/2026,200.0,purchase
9,107.0,8/03/2026,800.0,deposit
10,108.0,9/03/2026,150.0,purchase
11,109.0,10/03/2026,600.0,withdrawal
13,101.0,12/03/2026,750.0,deposit
14,102.0,13/03/2026,400.0,purchase
15,103.0,14/03/2026,950.0,withdrawal
16,104.0,15/03/2026,300.0,purchase
17,105.0,16/03/2026,200.0,purchase
18,106.0,17/03/2026,500.0,deposit
19,107.0,18/03/2026,700.0,withdrawal
20,108.0,19/03/2026,1000.0,purchase
21,109.0,20/03/2026,1500.0,deposit
22,110.0,21/03/2026,2500.0,purchase
23,101.0,22/03/2026,3500.0,withdrawal
24,102.0,23/03/2026,4500.0,purchase
25,103.0,24/03/2026,5500.0,deposit
26,103.0,24/03/2026,5500.0,deposit
27,104.0,25/03/2026,6500.0,purchase
28,105.0,26/03/2026,7500.0,withdrawal
29,106.0,27/03/2026,8500.0,purchase
30,107.0,28/03/2026,20000.0,purchase
31,108.0,29/03/2026,9500.0,deposit
32,109.0,30/03/2026,10500.0,purchase
33,110.0,31/03/2026,500.0,purchase
34,101.0,1/04/2026,600.0,withdrawal
35,102.0,2/04/2026,700.0,deposit
36,103.0,3/04/2026,800.0,purchase
37,104.0,4/04/2026,900.0,withdrawal
38,105.0,5/04/2026,1000.0,purchase
39,106.0,6/04/2026,1100.0,deposit
40,107.0,7/04/2026,1200.0,purchase
41,108.0,8/04/2026,1300.0,withdrawal
42,109.0,9/04/2026,1400.0,purchase
43,110.0,10/04/2026,1500.0,deposit
44,101.0,11/04/2026,1600.0,purchase
45,102.0,12/04/2026,1700.0,withdrawal
46,103.0,13/04/2026,1800.0,purchase
47,104.0,14/04/2026,1900.0,deposit
48,105.0,15/04/2026,2000.0,purchase
49,106.0,16/04/2026,2100.0,withdrawal
50,107.0,17/04/2026,2200.0,purchase
